node_id,macro_domain
0b8ed32f-5f9f-4b51-8a54-93d6a72d34dd,6
c808b214-0c12-445a-8ef1-ec27cd07adab,6
7daf150f-e97d-42c9-a39f-c007295be889,5
085d42a8-3522-4118-b1b9-e9621506d95a,7
0d484175-4b3c-4f6a-9e33-f10825a3e69b,7
e0b32652-648b-4509-b0cc-e32172f9c450,7
726042c2-b610-458d-b8d0-af59c2a77014,5
dc494879-c88b-4a80-8db2-7deab904db74,5
55080da8-eec0-494f-b571-1c228f9ab619,6
ec629e65-922d-4867-bfc0-8a450b059f0a,5
27d96941-a47b-48ad-ab3a-f32502d8cb46,6
02842cf7-c03e-46b3-8da5-ff4482cb503f,5
29a59608-5b4e-4d8c-835b-935aeb73516f,6
c6d8987b-cb1e-4093-ae98-778ce843f572,5
b3372920-93eb-4368-b836-258f6961c545,4
16bb259a-bac8-4839-9f79-b86637e6c8e6,4
d9bfeb29-a6d6-4e56-9051-cc7d4252a14d,7
05734dfe-6d60-4ccf-844f-2fa8e3b35219,7
a593e2be-c7d6-4fd0-82fd-68c23b2b4aea,6
8284fd9b-d4e2-4962-bd6f-053730f393c6,7
edff5b14-7204-47b3-bf16-bc8a52f60deb,6
4fa4b345-750a-4336-b703-a6732bee1267,7
96f40645-999b-4456-8050-182a9c295139,6
387220de-5ee4-41a6-8002-6cb544640e66,6
62311703-2f91-4130-ae27-c6823fa92528,6
cd5613e4-e65c-460f-abe2-d4ec4b683201,6
d7af702d-4d5e-43a0-ac42-1608f7ad850b,6
dbe059b9-a654-488e-9415-7f19f890be05,6
a855f835-20d5-4537-b441-852ce3057c55,6
89f757fb-6d40-4de2-8927-6585b7619ca0,5
1397f19e-e076-484c-b839-83680d366afb,6
92271a93-dfc5-46af-b20e-1d88714abc8e,5
0fe70595-4c59-4be3-9f2f-4f1aafa0a9b8,6
e6a96c5b-ce5e-4191-9446-44ec28071c29,6
9e7dea1f-2158-4587-953d-f2b729e70f82,6
4628e4dc-2c19-4ff4-a75e-9fd9448ec55a,6
04d03254-0a86-47f7-93e9-25e3c6d36f34,6
7f2d8a57-61d0-47d8-be28-6dde4b484ab7,6
e780c4b9-cd7f-4c7a-a0be-2d19f8bfd927,6
092cb732-693c-4d79-8067-f208191c1497,6
e4e409eb-7f59-4870-bd86-d0db64036a21,7
7fb36795-8de9-4812-a6d5-3d997433abc0,7
9f682b63-639a-4e68-8917-7c71a4da4204,4
4144bdc9-0100-457f-b5fd-92543b3c3351,6
5429414f-d43e-4dd5-8f66-688547a81ad2,6
db4ac5a6-62ed-4ebe-9781-5072d7797af1,6
7c32d6bb-614f-4550-9b3f-6c6f7bb737f9,6
ade9188b-ce09-43f6-a5f1-27577a2cad4b,7
55f0f433-63af-465d-848a-24450d2849cf,6
ee4d3f47-49e2-4fc4-baa3-a4f4f502b2ce,6
bb40e24c-adfa-4982-a593-1086899033c4,7
3128f2aa-09fe-465d-9a41-211182d8b9e8,4
dfb80b0b-04d3-48e6-b40f-a5d653ec2382,4
aabaf1f9-7a3e-40c1-9d7b-99184bdc7694,6
bac8e352-5011-4898-b61f-a536d0e058ec,6
a583a0ac-7fe3-4351-8560-4b5876b146cc,6
645b6aff-9fdc-4009-8fc7-e57522f887cb,6
0cb60989-53e6-4dd6-9a48-dc90dc8c4bc0,6
9dd7c961-24f0-4009-8d88-02fc6ebbf092,7
6f194ee9-900f-4033-89dc-9cb1f0591f69,7
3e93adab-93d6-4158-9b95-029cf3da7e19,6
2d1ded55-96b0-438d-8d67-8b5860fe4200,1
2728cd0e-e201-4dd4-9cd3-09a1e15f9ed7,6
d16b2c2d-9951-4ae5-b028-fc5c090e2073,7
f905ae53-9013-4c29-9c70-8f5e22a9515d,4
4cfebba0-b35b-4036-beca-5f822608b4e0,7
f9dae337-d1a8-492d-9f56-ec5baa8f6667,6
e5e19a2d-8cd5-45dc-93e3-2ab0b0da813c,6
a91a7d26-c648-4333-9ffa-2ca4d1cbd371,6
652b917b-7c4e-4e98-a1d8-b6264d26b161,6
d89da4b5-39a5-4193-9888-633ea42a5455,4
fda22779-f33d-4e46-b071-43b13be829a9,6
28b91075-e197-4c65-9580-06f863100c2e,6
cc575c91-839a-4d96-8d92-a6512a70c4a2,6
7ba94d72-e53a-43c6-85ec-28cfaa5abe78,7
faa011d3-bfcd-4179-9b67-621f7e9dead2,6
c631c44d-2bd1-46bd-b8d0-cfe1de13d4f9,2
45c6de30-f892-4f00-8265-9fcf479722e0,5
c3dec154-4fb1-4726-ac77-a56763145b13,5
15b0cf11-b6bb-43cb-ae85-da1fe91885e7,5
20f1e260-b18f-4e4f-9dfe-bdf1c65cbe9d,5
534e5361-4e6a-4f8b-9ce3-40209a53e9ca,6
e38d72a5-4cb1-4ec7-906c-952486ea3700,6
db2c598e-cf51-455b-b486-8d1a9f1b2ddd,5
e84534d5-ba24-4c6c-8584-4f7cb5abe3ea,6
9a0d43dd-dd45-4e17-90d0-ca0f876f5c01,6
05d1073f-5bea-4d49-93d3-ec46d6067438,2
b1516ae3-456c-4ee7-8690-3ea49825d361,6
bb6d7e14-acf3-4623-bf9b-8818296c520c,5
07874882-260c-4bad-b0f6-79bb5f7769f1,2
3666fde9-ff40-4054-bbd8-d3f6d9d24f00,5
b9759f03-39e2-4510-a6c0-3d07c48263a2,5
76f714a8-f738-49cd-ab83-436fa0876f15,2
6a31ab5b-445d-487b-be04-1d5c4cabd68f,2
0ac8b83d-9df4-4bc4-a274-88d6f130817f,5
8ae681af-0324-4d88-824e-a4faeacd7145,2
ef824868-f42a-4546-8374-0e12d6b9342a,6
bb9260ad-bea9-41da-9708-9221c1b29368,2
2e34d158-fa6f-4425-bda2-9b1ed6fe3a14,6
6d8f5f8e-cf3a-41a0-8e92-48f69bf71a4a,5
77c01d39-2cd2-454a-8f13-ff9d00d5b27d,2
ab31560c-b446-40ae-b2ef-23fb7120586d,6
1140d8e5-f28d-43bf-9a9e-70bf082e3de3,6
7e13ccc1-8bc5-4e22-8c13-2bb7a971e05f,5
0bed0d12-9f1d-4b1d-ada4-1e2f23f6209e,5
cf63796f-d151-4af9-9d6d-d25ac1f2346b,5
7cc912e6-da74-4285-98ec-6753405a9ffa,6
cdd1fbba-8eb0-4a31-8e2f-6e3ece3bcece,5
dced1458-c6e9-4301-8e33-3aad2f909798,4
398152eb-001d-4212-b243-5a55a181380b,5
96505a3b-a008-4b3f-95b3-3a4d776bbc6f,6
5484fb9b-346e-4624-909a-c634369cf0d7,2
dfd68048-54ca-4661-affd-3d41eff6586b,6
1a64d72e-f338-4bcc-b571-1d5db70d907b,5
c56eb5c6-14d9-47e2-9131-95f6fa8bec66,2
02d49812-a242-4e8e-8c93-5d2f8dc5505a,5
3535de87-820b-4a2d-ae98-2d9562aafa37,4
df64dd3a-ce29-4bb0-bbd1-e2bd3120e4b9,4
414bef5c-e01e-40fd-97ac-87f49bf5d1b0,2
0e8a2052-124b-47bd-b08f-aa2c7dc2e755,4
a9b8568f-6858-4cbf-bc8e-45d6d62b52b6,5
e6b4949e-77df-4747-a629-e584bff0c5b3,6
b337af5c-7933-4ae4-bd0d-7c1dc3fe5e42,2
b08ec832-1e9c-4c33-b299-4d6a4579dd22,5
c9a90dec-57da-4a29-92c3-1c911567047d,5
074be3da-af6a-4198-b705-ff84cb181bdc,5
2f8fdb03-ef77-4aa9-8f99-1651fbcc8ada,2
